sample-id	GNomexID	num	orig_name	orig_type	correct_type	mouse	day	day_num	sex	treatment	cage	body_wt	TD	Index_F	Index_R	Raw_forward_reads
4_1_D0	20492X104	104	5_20_D0	mouse	mouse	4_1	D0	0	M	ALB	4a	25.01	ALB_D0	i713	i516	0.9
4_1_D7	20492X127	127	5_1_D7	mouse	mouse	4_1	D7	7	M	ALB	4a	25	ALB_D7	i716	i515	1.2
4_1_D21	20492X150	150	4_5_D21	mouse	mouse	4_1	D21	21	M	ALB	4a	25.06	ALB_D21	i719	i514	1.1
4_2_D0	20492X103	103	5_2_D0	mouse	mouse	4_2	D0	0	M	ALB	4a	27.75	ALB_D0	i713	i515	1.6
4_2_D7	20492X126	126	4_6_D7	mouse	mouse	4_2	D7	7	M	ALB	4a	27.25	ALB_D7	i716	i514	1.1
4_2_D21	20492X149	149	4_4_D21	mouse	mouse	4_2	D21	21	M	ALB	4a	28.87	ALB_D21	i719	i513	1.2
4_4_D0	20492X102	102	5_1_D0	mouse	mouse	4_4	D0	0	M	MTZ	4b	26.5	MTZ_D0	i713	i514	1.4
4_4_D7	20492X125	125	4_5_D7	mouse	mouse	4_4	D7	7	M	MTZ	4b	26.6	MTZ_D7	i716	i513	1.3
4_4_D21	20492X148	148	4_2_D21	mouse	mouse	4_4	D21	21	M	MTZ	4b	26.85	MTZ_D21	i719	i512	1.1
4_5_D0	20492X101	101	4_6_D0	mouse	mouse	4_5	D0	0	M	MTZ	4b	27.2	MTZ_D0	i713	i513	1.3
4_5_D7	20492X124	124	4_4_D7	mouse	mouse	4_5	D7	7	M	MTZ	4b	26.6	MTZ_D7	i716	i512	1.1
4_5_D21	20492X147	147	4_1_D21	mouse	mouse	4_5	D21	21	M	MTZ	4b	26.68	MTZ_D21	i719	i511	0.8
4_6_D0	20492X100	100	4_5_D0	mouse	mouse	4_6	D0	0	M	ALB	4a	22.7	ALB_D0	i713	i512	2
4_6_D7	20492X123	123	4_2_D7	mouse	mouse	4_6	D7	7	M	ALB	4a	22.3	ALB_D7	i716	i511	1.1
4_6_D21	20492X146	146	MD4_Blank1	ExtBlank	mouse	4_6	D21	21	M	ALB	4a	22.64	ALB_D21	i719	i510	1.3
5_1_D7	20492X122	122	4_1_D7	mouse	mouse	5_1	D7	7	M	MTZ	5a	25.8	MTZ_D7	i716	i510	1.3
5_1_D21	20492X145	145	9_2_D7	mouse	mouse	5_1	D21	21	M	MTZ	5a	25.8	MTZ_D21	i719	i509	1.3
5_1_D0	20492X99	99	4_4_D0	mouse	mouse	5_1	D0	0	M	MTZ	5a	25.9	MTZ_D0	i713	i511	1.1
5_2_D7	20492X121	121	MD3_Blank1	ExtBlank	mouse	5_2	D7	7	M	MTZ	5a	22.2	MTZ_D7	i716	i509	1.6
